compound,Rtm,Etm,Wtm,Qtm,Ctm,Vtm,Eltm,DVEtm,WFtm,Ntm,Ntmf,Nx,Vx,Elx,Nxs,Nxf,Cx,Qx,Wx,WFx,Rx,DVEx,LEf,LEs,Vtmx,BEtmx,Covh,target
CoTe2_pm,1.16,1.9,58.93,4,6,9,760.4,1.14,5,36,3,72,6,869.2,3,6,3,5,127.6,4.95,1.38,1.82,18.3,12,3.5,0.522494019,0.027777778,-0.17
FeS2_pm,1.16,1.8,55.85,4,6,8,762.5,1.16,4.5,36,3,72,6,999.6,3,6,3,3,32.07,6.2,1.05,1.44,20.4,12.9,3.333333333,0.567646212,0.027777778,0.13
CrS2_pm,1.18,1.6,52,4,6,6,652.9,1.33,4.5,36,3,72,6,999.6,3,6,3,3,32.07,6.2,1.05,1.44,19.8,12.3,3,0.542627353,0.027777778,-0.11
CrTe2_pm,1.18,1.6,52,4,6,6,652.9,1.33,4.5,36,3,72,6,869.2,3,6,3,5,127.6,4.95,1.38,1.82,17.4,11.1,3,0.497326184,0.027777778,-0.14
CrSe2_pm,1.18,1.6,52,4,6,6,652.9,1.33,4.5,36,3,72,6,940.9,3,6,3,4,78.96,5.9,1.2,1.77,19.2,12,3,0.531664054,0.027777778,-0.11
NiS2_pm,1.15,1.9,58.69,4,6,10,737.1,2.9,5.1,36,3,72,6,999.6,6,1,3,3,32.07,6.2,1.05,1.44,8.2,20.7,3.666666667,0.567646212,0.027777778,-0.06
VS2_pm,1.22,1.6,50.94,4,6,5,650.9,1.61,4.3,36,3,72,6,999.6,6,1,3,3,32.07,6.2,1.05,1.44,7.3,19.8,2.833333333,0.53748385,0.027777778,0.08
TaS2_pm,1.34,1.5,180.95,6,6,5,728.4,1.7,4.1,36,3,72,6,999.6,6,1,3,3,32.07,6.2,1.05,1.44,7,19.5,2.833333333,0.567646212,0.027777778,0.18
NbS2_pm,1.34,1.6,92.91,5,6,5,652.1,1.75,4.3,36,3,72,6,999.6,6,1,3,3,32.07,6.2,1.05,1.44,7.3,19.8,2.833333333,0.599768474,0.027777778,0.21
NiTe2_pm,1.15,1.9,58.69,4,6,10,737.1,2.9,5.1,36,3,72,6,869.2,3,6,3,5,127.6,4.95,1.38,1.82,18.3,12,3.666666667,0.520256347,0.027777778,0.21
MnS2_pm,1.17,1.5,54.94,4,6,7,717.3,1.26,4.1,36,3,72,6,999.6,3,6,3,3,32.07,6.2,1.05,1.44,19.5,12,3.166666667,0.552770798,0.027777778,0.15
VSe2_pm,1.22,1.6,50.94,4,6,5,650.9,1.61,4.3,36,3,72,6,940.9,3,6,3,4,78.96,5.9,1.2,1.77,19.2,12,2.833333333,0.526624471,0.027777778,0.24
NbSe2_pm,1.34,1.6,92.91,5,6,5,652.1,1.75,4.3,36,3,72,6,940.9,6,1,3,4,78.96,5.9,1.2,1.77,7.2,19.2,2.833333333,0.58765069,0.027777778,0.25
VTe2_pm,1.22,1.6,50.94,4,6,5,650.9,1.61,4.3,36,1,72,6,869.2,2,2,3,5,127.6,4.95,1.38,1.82,5.8,7.4,2.833333333,0.506622805,0.027777778,0.2
NbTe2_pm,1.34,1.6,92.91,5,6,5,652.1,1.75,4.3,36,1,72,6,869.2,2,2,3,5,127.6,4.95,1.38,1.82,5.8,7.4,2.833333333,0.549696886,0.027777778,0.41
TiSe2_pm,1.32,1.5,204.38,4,6,4,658.8,1.81,4.3,36,3,72,6,940.9,3,6,3,4,78.96,5.9,1.2,1.77,18.9,11.7,2.666666667,0.548938369,0.027777778,0.26
TaSe2_pm,1.34,1.5,180.95,6,6,5,728.4,1.7,4.1,36,3,72,6,940.9,6,1,3,4,78.96,5.9,1.2,1.77,6.9,18.9,2.833333333,0.55617743,0.027777778,0.24
PdTe2_pm,1.28,2.2,106.42,5,6,10,804.4,3.2,5.5,36,3,72,6,869.2,3,6,3,5,127.6,4.95,1.38,1.82,19.2,12.9,3.666666667,0.561248608,0.027777778,0.77
TiTe2_pm,1.32,1.5,204.38,4,6,4,658.8,1.81,4.3,36,3,72,6,869.2,3,6,3,5,127.6,4.95,1.38,1.82,17.1,10.8,2.666666667,0.513484826,0.027777778,0.4
TaTe2_pm,1.34,1.5,180.95,6,6,5,728.4,1.7,4.1,36,1,72,6,869.2,2,2,3,5,127.6,4.95,1.38,1.82,8.7,7.2,2.833333333,0.520256347,0.027777778,0.33
MoTe2_pm,1.29,1.8,95.94,5,6,6,684.3,1.46,4.6,36,3,72,6,869.2,6,1,3,5,127.6,4.95,1.38,1.82,7.5,18,3,0.536811575,0.027777778,-0.15
ZrTe2_pm,1.45,1.4,91.22,5,6,4,640.1,1.96,4,36,3,72,6,869.2,3,6,3,5,127.6,4.95,1.38,1.82,16.8,10.5,2.666666667,0.489046692,0.027777778,1.06
HfTe2_pm,1.44,1.3,178.49,6,6,4,658.5,1.88,3.9,36,3,72,6,869.2,3,6,3,5,127.6,4.95,1.38,1.82,16.5,10.2,2.666666667,0.484252001,0.027777778,1.16
CoS2_pm,1.16,1.9,58.93,4,6,9,760.4,1.14,5,36,3,72,6,999.6,3,6,3,3,32.07,6.2,1.05,1.44,20.7,13.2,3.5,0.570087713,0.027777778,-0.12
CoTe2_tm,1.16,1.9,58.93,4,6,9,760.4,1.14,5,35,6,72,6,869.2,6,6,2,5,127.6,4.95,1.38,1.82,24,24,4.5,0.591607978,0.028571429,-0.15
FeS2_tm,1.16,1.8,55.85,4,6,8,762.5,1.16,4.5,35,6,72,6,999.6,6,6,2,3,32.07,6.2,1.05,1.44,25.8,25.8,4.333333333,0.645497224,0.028571429,-0.25
CrS2_tm,1.18,1.6,52,4,6,6,652.9,1.33,4.5,35,6,72,6,999.6,6,6,2,3,32.07,6.2,1.05,1.44,24.6,24.6,4,0.645497224,0.028571429,-0.2
CrTe2_tm,1.18,1.6,52,4,6,6,652.9,1.33,4.5,35,6,72,6,869.2,6,6,2,5,127.6,4.95,1.38,1.82,22.2,22.2,4,0.591607978,0.028571429,-0.19
CrSe2_tm,1.18,1.6,52,4,6,6,652.9,1.33,4.5,35,6,72,6,940.9,6,6,2,4,78.96,5.9,1.2,1.77,24,24,4,0.632455532,0.028571429,-0.19
NiS2_tm,1.15,1.9,58.69,4,6,10,737.1,2.9,5.1,35,6,72,6,999.6,6,6,2,3,32.07,6.2,1.05,1.44,26.4,26.4,4.666666667,0.645497224,0.028571429,-0.22
VS2_tm,1.22,1.6,50.94,4,6,5,650.9,1.61,4.3,35,6,72,6,999.6,6,6,2,3,32.07,6.2,1.05,1.44,24.6,24.6,3.833333333,0.645497224,0.028571429,0.15
TaS2_tm,1.34,1.5,180.95,6,6,5,728.4,1.7,4.1,35,6,72,6,999.6,6,6,2,3,32.07,6.2,1.05,1.44,24,24,3.833333333,0.645497224,0.028571429,-0.23
NbS2_tm,1.34,1.6,92.91,5,6,5,652.1,1.75,4.3,35,6,72,6,999.6,6,6,2,3,32.07,6.2,1.05,1.44,24.6,24.6,3.833333333,0.645497224,0.028571429,-0.18
NiTe2_tm,1.15,1.9,58.69,4,6,10,737.1,2.9,5.1,35,6,72,6,869.2,6,6,2,5,127.6,4.95,1.38,1.82,24,24,4.666666667,0.591607978,0.028571429,-0.12
MnS2_tm,1.17,1.5,54.94,4,6,7,717.3,1.26,4.1,35,6,72,6,999.6,6,6,2,3,32.07,6.2,1.05,1.44,24,24,4.166666667,0.645497224,0.028571429,-0.28
